# ----------------------------------------
# Reports snapshot
# Account: FleaFind
# Property: FleaFind
# ----------------------------------------
#  
# Start date: 20260708
# End date: 20260804
Active users,New users,Average engagement time per active user,Event count
522,499,48.934865900383144,4801

#  
# Start date: 20260708
# End date: 20260804
Page title and screen class,Views,Active users,Event count,Bounce rate
"Flohmarkt Dampfzentrale on July 26, 2026 – Opening Hours & Info",4,3,10,0.3333333333333333
Flohmarkt GZ Seebach – Alle Termine 2026,4,2,11,0.5
Flohmarkt Kanzlei am 11. Juli 2026 – Öffnungszeiten & Infos,4,1,4,0
"Flohmarkt Kanzlei on July 18, 2026 – Opening Hours & Info",4,3,9,0.3333333333333333
Flohmarkt Lausanne - 17.-19. Juli 2026,4,1,5,0
Flohmarkt Mall of Switzerland Ebikon – Alle Termine 2026,4,1,5,0
Flohmarkt Mosergarten am 5. September 2026 – Öffnungszeiten & Infos,4,2,5,0
Flohmarkt Münsterplatz am 17. Oktober 2026 – Öffnungszeiten & Infos,4,1,5,0
Flohmarkt Petersplatz am 11. Juli 2026 – Öffnungszeiten & Infos,4,1,4,0
Flohmarkt Petersplatz am 25. Juli 2026 – Öffnungszeiten & Infos,4,1,4,0
Flohmarkt Rathausplatz Wettingen am 8. August 2026 – Öffnungszeiten & Infos,4,2,4,0
Flohmarkt Seeplatz Waedenswil am 11. Juli 2026 – Öffnungszeiten & Infos,4,1,6,0.5
"Flohmarkt Theaterplatz Baden on July 25, 2026 – Opening Hours & Info",4,2,6,0
Flohmarkt Uster (Stadthausplatz) am 8. August 2026 – Öffnungszeiten & Infos,4,2,11,0.3333333333333333
Flohmarkt Vogesenplatz le 1 août 2026 – Horaires et infos,4,2,7,0.6666666666666666
"Flohmarkt Vogesenplatz on July 11, 2026 – Opening Hours & Info",4,1,4,0
Flohmarkt Winterthur - 31. Juli - 2. August 2026,4,2,6,0
Flohmarkt Winterthur 2026 - Termine & Standorte | FleaFind,4,3,9,0
Flohmarkt Zürich - 17.-19. Juli 2026,4,1,5,0
Flohmarkt am See Wollishofen – Alle Termine 2026,4,4,14,0.25
Flohmärkte in Zürich dieses Wochenende — Termine & Infos | FleaFind,4,2,8,0.3333333333333333
Legal Notice | FleaFind,4,2,5,0
Luzerner Flohmarkt Vögeligärtli am 8. August 2026 – Öffnungszeiten & Infos,4,3,8,0.3333333333333333
Marche Calabash – Toutes les dates 2026,4,2,5,0
Marche de Rumine (Vendredi) am 17. Juli 2026 – Öffnungszeiten & Infos,4,1,8,0
Marché aux puces aujourd'hui en Suisse — Dates actuelles | FleaFind,4,2,9,0
Marchés aux puces Suisse 2026 — Toutes les villes et dates | FleaFind,4,3,6,0.3333333333333333
Marchés aux puces à Winterthur 2026 - Dates et lieux | FleaFind,4,1,4,0
Nostalgie Flohmarkt Worb am 12. Juli 2026 – Öffnungszeiten & Infos,4,2,5,0
Nostalgie Flohmarkt Worb le 9 août 2026 – Horaires et infos,4,2,6,0
"Nostalgie Flohmarkt Worb on July 12, 2026 – Opening Hours & Info",4,2,4,0
PROGR Vintage Flea Market – Alle Termine 2026,4,1,5,0
Pour les organisateurs : confirmer une fiche | fleafind.ch,4,1,6,0
Quartierflohmi Neu-Allschwil am 20. September 2026 – Öffnungszeiten & Infos,4,1,5,0
Strandgut-Flohmarkt Neubad am 25. Oktober 2026 – Öffnungszeiten & Infos,4,1,6,0
0 Flohmärkte am Sonntag in Basel | FleaFind,3,1,3,0
0 flea markets on 4 August - 10 August 2026 in Winterthur | FleaFind,3,1,5,1
"1 Flohmarkt am Sonntag, 23. August 2026 in Zürich | FleaFind",3,1,7,0
1 بازاڕی مێروولە لە ڕۆژی پێنجشەممە 14ی ئایاری 2026 | FleaFind,3,1,4,0
20 mercatini il 2 agosto - 8 agosto 2026 | FleaFind,3,1,3,0
4 flea markets on July 2026 | FleaFind,3,1,5,0
55 flea markets on August 2026 | FleaFind,3,1,5,0
Coffre Ouvert le 11 juillet 2026 – Horaires et infos,3,1,4,0
FLOSCH Schwamendingen Flohmarkt am 31. Oktober 2026 – Öffnungszeiten & Infos,3,1,5,0
"Fete Livres & Disques Ouchy on July 12, 2026 – Opening Hours & Info",3,1,5,0
Flea market Geneva Saturday - Dates 2026 | FleaFind,3,1,5,0
Flea market today in Zurich — Current dates | FleaFind,3,2,5,0
Flohmarkt Bern Samstag - Termine 2026 | FleaFind,3,2,7,0
Flohmarkt Bürkliplatz le 11 juillet 2026 – Horaires et infos,3,1,6,0
"Flohmarkt Gallusplatz St. Gallen — Samstag, 1. August 2026 | Termine & Infos | FleaFind",3,3,12,0.75
Flohmarkt Lausanne 2026 - Termine & Standorte | FleaFind,3,3,9,0
Flohmarkt Münsterplatz am 15. August 2026 – Öffnungszeiten & Infos,3,2,9,0
"Flohmarkt Petersplatz on August 8, 2026 – Opening Hours & Info",3,1,3,0
"Flohmarkt Petersplatz on July 11, 2026 – Opening Hours & Info",3,1,3,0
Flohmarkt Rueticenter Pratteln am 6. September 2026 – Öffnungszeiten & Infos,3,1,8,0.5
Flohmarkt Schaffhausen 2026 - Termine & Standorte | FleaFind,3,2,6,0
Flohmarkt Seeplatz Waedenswil le 11 juillet 2026 – Horaires et infos,3,2,3,0
Flohmarkt Vogesenplatz – Alle Termine 2026,3,3,10,0.3333333333333333
Flohmarkt für Kindersachen GZ Bachwiesen am 23. August 2026 – Öffnungszeiten & Infos,3,2,3,0
Flohmarkt heute in Basel — Aktuelle Termine | FleaFind,3,1,6,0
Flohmarkt heute in Schaffhausen — Aktuelle Termine | FleaFind,3,1,3,0
Flohmarkt the STAGE – All Dates 2026,3,1,5,0
Gaenggali-Markt am 1. August 2026 – Öffnungszeiten & Infos,3,2,8,0
Grosser Aussen-Flohmarkt Wetzikon am 26. September 2026 – Öffnungszeiten & Infos,3,1,6,0
"Luzerner Flohmarkt Vögeligärtli on July 18, 2026 – Opening Hours & Info",3,2,7,0.6666666666666666
Marche Calabash il 2 agosto 2026 – Orari e informazioni,3,1,5,0
Marche Calabash il 6 settembre 2026 – Orari e informazioni,3,1,3,0
Marche aux puces de Vevey le 1 août 2026 – Horaires et infos,3,2,6,0
Marches non alimentaires du Tunnel – Alle Termine 2026,3,2,5,0
Marché aux puces Zurich 2026 : dates à Zurich et environs | FleaFind,3,2,3,0
Marché aux puces de Plainpalais (Erster Sonntag) le 2 août 2026 – Horaires et infos,3,2,7,0
Marché aux puces de Plainpalais – Toutes les dates 2026,3,3,10,0.3333333333333333
Marchés aux puces en Suisse 2026 — Dates et horaires vérifiés | FleaFind,3,1,4,0
Mercatini a Lugano 2026 - Date e luoghi | FleaFind,3,2,6,0
Per gli organizzatori: conferma la scheda | fleafind.ch,3,2,4,0.5
Quartierflohmarkt Pratteln – Gehrenacker und Fröschmatt – Toutes les dates 2026,3,1,5,0
Sommer-Flohmarkt Obere Mühle Dübendorf am 22. August 2026 – Öffnungszeiten & Infos,3,2,4,0
Strandgut-Flohmarkt Neubad – Alle Termine 2026,3,3,7,0
Strassenflohmarkt Rafz am 19. September 2026 – Öffnungszeiten & Infos,3,1,7,0
fundus Flohmarkt ARENA Root – Alle Termine 2026,3,2,3,0
À propos de FleaFind — Qui nous sommes,3,2,5,0.5
